video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7301417691418610987,2023-11-14T15:29:51,50,US,"kristy sarah, desmond scott chef, Kristy Sarah Jehovah Witness, Pasta Dish, pasta, cooking videos, foodtiktok, Cooking Food Videos, Cooking Videos TikTok, Cooking Pasta",882000,4522,4720,6700000,"Serving kristy at the end 😏 I personally love Penne Alla Vodka. It’s my favorite pasta dish. It’s a staple in my home and I wanted to share it with you! Let me know what your favorite pasta is, maybe I’ll make it soon!😉 Recipe Below. Penne Alla Vodka Recipe Ingredients  	•	1 lb bag Penne pasta 	•	1 package of Prosciutto 	•	3 Garlic Cloves (or more I love garlic I do 6) 	•	1/2 cup heavy cream 	•	3-4 Tablespoons, Titos Vodka (any brand works I use Tito’s) 	•	1 28oz Can Whole Peeled Tomatoes 	•	1 bunch of fresh Basil 	•	3 Tablespoons Olive Oil 	•	3 Tablespoons Unsalted Butter 	•	Minced Parsley for garnish 	•	Grated Parmesan for garnish 	•	Salt & Pepper Instructions:  First, start a pot of boiling water for your pasta. While that comes to a boil, cube your prosciutto and mince the garlic and parsley. In a food processor, blitz your tomatoes (I like mine kind of chunky so I do a very quick 2-5 second blitz). In a medium-low pan, add your olive oil, prosciutto, and garlic. cook down until the garlic starts to slightly brown. Add basil bunch. Then add vodka, and turn heat down momentarily to avoid flare up then turn the heat back up to medium. This is normally a good time to drop your pasta in and cook according to box instructions. Once the vodka has reduced, add your blitzed tomato. Reduce the liquid until it’s thick enough to run your spoon through the middle and no liquid fills in. Add your salt & pepper to taste. Then add your heavy cream. Stir till combined. Add butter and stir. Add cooked pasta and serve with grated Parmesan and parsley for garnish.",False,,desmondthechef,Desmond Scott,,,,,,False
7284470990602538283,2023-09-30T00:28:04,45,US,"she reads truth bible, the jesus bible, Bible, catholic bible, pink bible, she reads truth bible on sale, she reads truth bible controversy, bibles to buy on amazon, she reads truth bible vs the jesus bible, she reads truth bible black girl",700900,23900,2334,5300000,i love my bible so much #proverbs31woman #walkingbyfaith #shereadstruth #fyp #nandivuyiswa #CapCut ,False,,_nandivuyiswa,nandi🎀,,,,,,False
7298896329474919685,2023-11-07T20:25:35,23,PH,,2500000,44300,8817,51700000,#CapCut 2023 recap in 50 clips #2023 #2023recap #2023dump #2023seasoncomestoanend #2023highlights #capcutverse #capcuttemplate #capcutedit #fyp ,False,,capcutverse,CapCutverse,,,,,,False
7299939063975480618,2023-11-10T15:52:06,15,US,,4400000,162300,21600,28400000,i remember watching this on disney channel & being like wow thats so many years away 🥲#greenscreen#suitelifeofzackandcody#suitelifeondeck#disney#disneychannel#disney100#justrealized#nostalgia#childhood#childhoodmemories#childhoodshows#fyp#fnaf #oliviarodrigoobsessed #oliviarodrigoguts#ilookjustlikemymommy#corgi#oliviathecorgi#christopherbriney#meangirlsmusical#fnafmovieedit#joshhutcherson #joshhutchersonedit#strangerthings5#trending#sixthemusicalbroadway#megasix#sixthemusical  ,False,,evejulia,eve,,,,,,False
7294207850899983649,2023-10-26T06:11:55,7,GB,,738300,2868,1126,8300000,2023 been good so far 🏃🏽 #CapCut #fyp #2023 ,False,,georgiogeorgiou,Georgio Georgiou,,,,,,False
7273908801898630432,2023-09-01T13:21:15,59,IE,,45500,2480,439,161300,Am i wrong?🤔 #nostalgia #africanchurch #oldskool #nigeriantiktok🇳🇬 #thatbwoykay #fypシ゚viral ,False,,thatbwoykay,Kay❤️‍🩹,,,,,,False
7268662374570265899,2023-08-18T10:02:47,27,US,,206700,90500,1125,1700000,Pov: Life updates with all your long distance besties 🥹❤️  #girldinner #powerpointnight #teatime #tea #girlsnightideas #bffgoals ,False,,therealchristuna,Christina Cowan,,,,,,False
7274622174189866286,2023-09-03T11:29:38,20,US,,51000,1203,288,251000,I know my friends be annoyed of me sometimes because I simply dont joke with certain things Inspo,False,,ariel.fitz_,Ariel Fitz,,,,,,False
7292130463559388462,2023-10-20T15:50:45,53,US,,274500,5723,1641,1200000,✨God Math✨ Pt. 2  🤣🙏#Godmath #christian #christiantiktok #fyp #foryou #trending  ,False,,joechristianguy,joechristianguy,,,,,,False
7280990426037767467,2023-09-20T15:21:36,86,US,"riss and quan, sour, Guess The Drink, the martin family, drinking water, sprite challenge, toddlerdrinkchallenge, guess thedrink challenge with kid, water, Juice Bottle",799600,23300,4305,12300000,Replying to @commandersfan5 The ending☠️😂 #guessthedrinkchallenge #toddlerchallenge #drinkchallange #toddlers #toddlersoftiktok #fyp ,False,,officialmartinfam,The Martin Family,,,,,,False
7287173598354132229,2023-10-07T07:15:22,60,NG,"going to dinner dressed like african mothers, going to the club dressed as grannies, african auntie dance, going out dress like african moms, dressed as old ladies, Dresses Going Out, dinner, going out dressed as old ladies, Dinner Dresses, Dresses For Going Out",854200,54100,8548,4600000,#fypシ #makemefamous #viral #viralvideo #viralvideotiktok #voiceeffects #onthisday #onthisday #streets #makemefamous ,False,,manaciouspowers,Manacious powers,,,,,,False
7286943890618256646,2023-10-06T16:24:00,8,CA,,1300000,75700,2075,11900000,a fun one for friends/couples😎 #photoidea #photoinspo #igpics ,False,,nikiivictoria,niki,,,,,,False
7280888859922238726,2023-09-20T08:47:23,28,KE,,42100,2766,345,245200,Colours of Kenya🇰🇪🫶🏼 #travel #tembeakenya,False,,gregalusa,Greg Alusa,,,,,,False
